Date,ticker,exit_state,exit_flag,triggers,rank,horizon,fwd_return
2022-05-19,GOTO.JK,EXIT,1,D2,99,90D,0.19285714285714284
2022-06-17,GOTO.JK,EXIT,1,D2,99,90D,-0.27322404371584696
2022-07-01,GOTO.JK,EXIT,1,D2,21,90D,-0.32432432432432434
2025-02-25,GOTO.JK,EXIT,1,D2,12,90D,-0.17948717948717952
2025-04-08,GOTO.JK,EXIT,1,D1+D2,12,90D,-0.15492957746478875
2025-05-14,GOTO.JK,EXIT,1,D1,12,90D,-0.22784810126582278
2022-01-03,HEAL.JK,EXIT,1,D2,99,90D,0.2102804385229331
2022-02-03,HEAL.JK,EXIT,1,D2,99,90D,0.2731481546608372
2022-02-10,HEAL.JK,EXIT,1,D1+D2,99,90D,0.30985903270136994
2022-02-21,HEAL.JK,EXIT,1,D1+D2,99,90D,0.291079639747595
2022-08-05,HEAL.JK,EXIT,1,D2,99,90D,0.0992907440013624
2022-08-25,HEAL.JK,EXIT,1,D2,99,90D,-0.014134282543650567
2022-09-16,HEAL.JK,EXIT,1,D2,99,90D,0.12727275727571108
2022-11-11,HEAL.JK,EXIT,1,D1,99,90D,0.03754264009117203
2023-01-27,HEAL.JK,EXIT,1,D2,99,90D,-0.12786887983117168
2023-02-03,HEAL.JK,EXIT,1,D2,99,90D,-0.09180332801260638
2023-02-09,HEAL.JK,EXIT,1,D1+D2,99,90D,-0.082236765449207
2023-02-20,HEAL.JK,EXIT,1,D1+D2,99,90D,-0.1348683749498789
2023-10-30,HEAL.JK,EXIT,1,D2,99,90D,-0.12499996906355892
2023-11-01,HEAL.JK,EXIT,1,D2,99,90D,-0.11073829965434545
2023-11-09,HEAL.JK,EXIT,1,D2,99,90D,-0.12709028164717473
2024-05-06,HEAL.JK,EXIT,1,D2,99,90D,0.0026870375680858594
2024-05-13,HEAL.JK,EXIT,1,D2,99,90D,0.006456454060142169
2024-05-17,HEAL.JK,EXIT,1,D2,99,90D,-0.01993002825301604
2024-05-21,HEAL.JK,EXIT,1,D2,99,90D,-0.0163311597760063
2024-05-27,HEAL.JK,EXIT,1,D2,99,90D,-0.003876044611021201
2024-06-19,HEAL.JK,EXIT,1,D2,99,90D,0.056390952087250534
2024-07-03,HEAL.JK,EXIT,1,D2,99,90D,0.15969591764050795
2024-07-09,HEAL.JK,EXIT,1,D2,99,90D,0.13962264541261438
2024-07-11,HEAL.JK,EXIT,1,D2,99,90D,0.17045457226913108
2024-07-16,HEAL.JK,EXIT,1,D2,99,90D,0.1804510841502649
2024-07-22,HEAL.JK,EXIT,1,D2,99,90D,0.11278190417450129
2024-08-01,HEAL.JK,EXIT,1,D2,99,90D,0.10266171548103276
2024-08-07,HEAL.JK,EXIT,1,D2,99,90D,0.07169810504635166
2024-11-07,HEAL.JK,EXIT,1,D2,99,90D,-0.0971223176346514
2024-11-25,HEAL.JK,EXIT,1,D2,99,90D,-0.03649642404833631
2025-01-30,HEAL.JK,EXIT,1,D1+D2,99,90D,-0.06377854575450304
2025-05-26,HEAL.JK,EXIT,1,D2,99,90D,0.14930564286014025
2025-06-02,HEAL.JK,EXIT,1,D2,99,90D,0.11846685154713676
2025-06-10,HEAL.JK,EXIT,1,D2,99,90D,0.21352309724280438
2025-10-13,HEAL.JK,EXIT,1,D1,99,90D,-0.09967845531401431
2025-11-05,HEAL.JK,EXIT,1,D1+D2,99,90D,-0.0982456590676214
2022-01-03,ICBP.JK,EXIT,1,D1,99,90D,-0.12173909990639187
2022-01-20,ICBP.JK,EXIT,1,D1,99,90D,-0.12903225404420293
2022-02-03,ICBP.JK,EXIT,1,D1,99,90D,-0.07941175753697838
2022-05-17,ICBP.JK,EXIT,1,D2,99,90D,0.14589265023794207
