Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state,month,quality_score,value_score,momentum_score,growth_score,final_score,fwd_return_3m,fwd_return_6m,volatility_3m,is_winner_3m,is_winner_6m
2025-03-31,1557.45361328125,0.03154573392849103,23252405565.29,0.0721311660003938,0.1047296747355037,0.1075847749435232,6510.6201171875,0.1047296747355037,-0.1351379715602036,0.2398676462957074,0.1525396863469265,-0.0829497087050938,1557.45361328125,0.0,1324.07373046875,0.1762589782140596,ANTM.JK,BUY,2025-03,,,,,,0.487679732473273,0.5071349325059336,0.11445289153539624,True,True
2025-04-30,2067.0791015625,0.327217121547247,535626413967.18,0.5611510552593701,0.3562499784750983,0.4341516634953335,6766.794921875,0.3562499784750983,-0.1065780421879354,0.4628280206630337,0.6093141511286135,0.2229603743673263,2067.0791015625,0.0,1509.8250732421875,0.3690851597289143,ANTM.JK,BUY,2025-04,,,,,,0.2747090871710526,0.33320028981854843,0.14954875643217164,True,False
2025-05-31,2962.495849609375,0.43317972078089895,849006002771.17,0.9621450869455576,1.1748250350772218,1.1228667909019467,7175.81884765625,1.1748250350772218,0.008652014613298,1.1661730204639238,0.8177853624345457,0.70334499980089,2962.495849609375,0.0,1557.45361328125,0.902140663674712,ANTM.JK,BUY,2025-05,,,,,,0.02549478631270563,-0.018039810862328087,0.20815038685515824,False,False
2025-06-30,3040.0,0.02616177518049323,357311994194.89,0.951904040079444,1.0926971544112538,1.5530905412541531,6927.67919921875,1.0926971544112538,-0.0215010781298439,1.1141982325410975,0.8878457669004809,-0.051974787922826,3040.0,0.0,2067.0791015625,0.4706742464292109,ANTM.JK,BUY,2025-06,,,,,,0.03797468354430378,0.03492063492063491,0.2111579195977631,False,False
2025-07-31,2850.0,-0.0625,-62793171743.45999,0.3787571060273853,1.1524481110210076,1.2752113910254512,7484.3369140625,1.1524481110210076,0.0527684317317613,1.0996796792892465,0.2727184273808811,-0.0145185532518514,3040.0,-0.0625,2850.0,0.0,ANTM.JK,BUY,2025-07,,,,,,0.08064516129032262,0.3230403800475059,0.2643302555555459,False,False
2025-08-31,3040.0,0.06666666666666665,175689021485.58997,0.0261617751804932,1.013478285581737,1.2959446517557418,7830.4931640625,1.013478285581737,0.2487635474436083,0.7647147381381287,-0.0650716199629861,-0.3349649411511175,3040.0,0.0,2850.0,0.0666666666666666,ANTM.JK,WEAK,2025-08,,,,,,-0.04467353951890041,0.30114942528735633,0.0660625768876765,False,False
2025-09-30,3160.0,0.03947368421052633,477128746401.93,0.0394736842105263,1.0289528837667907,1.241444459337349,8061.06201171875,1.0289528837667907,0.2381404331114653,0.7908124506553253,-0.1241284081940721,0.0260977125171966,3160.0,0.0,2850.0,0.1087719298245614,ANTM.JK,BUY,2025-09,,,,,,-0.0031746031746031633,0.0971428571428572,0.06809566597088014,False,False
2025-10-31,3100.0,-0.01898734177215189,247742851237.64,0.087719298245614,0.4997007118192611,1.0339690581239624,8163.875,0.4997007118192611,0.2064611229178325,0.2932395889014285,-0.0030753965603746,-0.4975728617538968,3160.0,-0.0189873417721519,3040.0,0.0197368421052631,ANTM.JK,BUY,2025-10,,,,,,0.26365795724465557,0.17112299465240643,0.0437678706652965,True,False
2025-11-30,2910.0,-0.06129032258064515,-45566805641.29001,-0.0427631578947368,-0.0177201428370935,1.136286824809967,8508.7060546875,-0.0177201428370935,0.1857470534483454,-0.2034671962854389,-0.1293749301567458,-0.4967067851868675,3160.0,-0.0791139240506329,2910.0,0.0,ANTM.JK,WEAK,2025-11,,,,,,0.3310344827586207,-0.0034482758620688614,0.050597461742730804,True,False
2025-12-31,3150.0,0.08247422680412364,135271564288.2,-0.0031645569620253,0.0361842105263157,1.1684197488142924,8646.9384765625,0.0361842105263157,0.2481724727579237,-0.211988262231608,-0.0758443681323195,-0.008521065946169,3160.0,-0.0031645569620253,2910.0,0.0824742268041237,ANTM.JK,WEAK,2025-12,,,,,,0.09999999999999998,,0.07388305821030948,False,False
2023-01-31,3210.0,-0.13709677419354838,5820645692.869997,-0.3705882352941176,-0.6964539007092199,-0.8042682926829268,6839.341796875,-0.6964539007092199,-0.0160810345675369,-0.6803728661416829,-0.3340264157920457,-0.0957506392086436,16175.0,-0.8015455950540958,3210.0,0.0,ARTO.JK,AVOID,2023-01,,,,,,-0.5507246376811594,-0.10309278350515472,0.04498996087470209,False,False
2023-02-28,2510.0,-0.2180685358255452,2779668377.1800003,-0.4531590413943355,-0.7020771513353116,-0.844822256568779,6843.23876953125,-0.7020771513353116,-0.0467154526889039,-0.6553616986464076,-0.4195389741633029,0.0250111674952753,14650.0,-0.8286689419795222,2510.0,0.0,ARTO.JK,AVOID,2023-02,,,,,,-0.054621848739495826,-0.07725321888412018,0.04107049686288215,False,False
2023-03-31,2420.0,-0.03585657370517925,-9824326237.969992,-0.3494623655913978,-0.6333333333333333,-0.8348122866894198,6805.27685546875,-0.6333333333333333,-0.0334508959153659,-0.5998824374179673,-0.3428436521254332,0.0554792612284402,11650.0,-0.792274678111588,2420.0,0.0,ARTO.JK,AVOID,2023-03,,,,,,0.23899371069182385,-0.19801980198019797,0.09129366856146719,True,False
2023-04-30,2070.0,-0.14462809917355368,-18460619222.02,-0.3551401869158879,-0.5941176470588235,-0.8223175965665236,6915.7158203125,-0.5941176470588235,-0.025803233023538,-0.5683144140352855,-0.3663070543873157,0.0315680233826818,10575.0,-0.8042553191489362,2070.0,0.0,ARTO.JK,AVOID,2023-04,,,,,,0.28865979381443296,-0.3142857142857143,0.09167509806203684,True,False
2023-05-31,2380.0,0.1497584541062802,82511427117.04001,-0.0517928286852589,-0.4814814814814815,-0.7461333333333333,6633.26123046875,-0.4814814814814815,-0.0632724126943652,-0.4182090687871163,-0.0211088870409309,0.1501053452481692,10575.0,-0.7749408983451537,2070.0,0.1497584541062802,ARTO.JK,AVOID,2023-05,,,,,,-0.02145922746781115,0.25625,0.14885542541570643,False,False
2023-06-30,3180.0,0.3361344537815125,122917086130.86,0.3140495867768595,-0.1451612903225806,-0.6524590163934426,6661.87890625,-0.1451612903225806,-0.0275508286916357,-0.1176104616309449,0.3351211687659913,0.3005986071561713,10575.0,-0.699290780141844,2070.0,0.5362318840579711,ARTO.JK,WATCH,2023-06,,,,,,-0.5742574257425743,-0.096551724137931,0.24239502481514044,False,False
2023-07-31,2910.0,-0.08490566037735847,-6624871643.649996,0.4057971014492754,-0.0934579439252336,-0.724822695035461,6931.35888671875,-0.0934579439252336,0.0134540855796669,-0.1069120295049006,0.4035351423386502,0.0106984321260442,8425.0,-0.6545994065281899,2380.0,0.2226890756302521,ARTO.JK,WATCH,2023-07,,,,,,-0.8476190476190477,0.09345794392523366,0.21098105665843064,False,False
2023-08-31,2330.0,-0.19931271477663226,-32064415824.11,-0.0210084033613445,-0.0717131474103586,-0.7234421364985163,6953.259765625,-0.0717131474103586,0.0160773282650323,-0.087790475675391,-0.0692499129353066,0.0191215538295096,6600.0,-0.646969696969697,2330.0,0.0,ARTO.JK,AVOID,2023-08,,,,,,0.271875,0.14022140221402213,0.28197736970194587,True,False
2023-09-30,2020.0,-0.1330472103004292,2109626009.7,-0.3647798742138365,-0.1652892561983471,-0.693939393939394,6939.89208984375,-0.1652892561983471,0.0197810077729347,-0.1850702639712819,-0.4065118221381564,-0.0972797882958909,5100.0,-0.6039215686274509,2020.0,0.0,ARTO.JK,AVOID,2023-09,,,,,,0.303448275862069,0.24344569288389517,0.0574422898928394,True,False
2023-10-31,1575.0,-0.22029702970297027,-19669369574.12,-0.4587628865979382,-0.2391304347826086,-0.6911764705882353,6752.2109375,-0.2391304347826086,-0.0236425103432187,-0.2154879244393899,-0.4329168797547466,-0.030417660468108,4590.0,-0.6568627450980392,1575.0,0.0,ARTO.JK,AVOID,2023-10,,,,,,0.5093457943925234,0.2674418604651163,0.04554117101075981,True,False
2023-11-30,3200.0,1.0317460317460316,369733788235.47,0.3733905579399141,0.3445378151260505,-0.3028322440087145,7080.7412109375,0.3445378151260505,0.067460026813557,0.2770777883124935,0.3550565031786159,0.4925657127518834,3720.0,-0.1397849462365591,1575.0,1.031746031746032,ARTO.JK,ACCUMULATE,2023-11,,,,,,-0.18081180811808117,-0.3278008298755186,0.6990431144816786,False,False
2023-12-31,2900.0,-0.09375,23467226326.200005,0.4356435643564356,-0.0880503144654087,-0.2204301075268817,7272.796875,-0.0880503144654087,0.0917035535090338,-0.1797538679744426,0.3876738292587613,-0.4568316562869361,3210.0,-0.0965732087227414,1575.0,0.8412698412698413,ARTO.JK,WEAK,2023-12,,,,,,-0.08614232209737827,-0.20331950207468874,0.6892468469188304,False,False
2024-01-31,3210.0,0.10689655172413803,67474315998.52,1.038095238095238,0.1030927835051547,0.0,7207.94091796875,0.1030927835051547,0.0399030025382125,0.0631897809669421,0.9706017926612772,0.2429436489413847,3210.0,0.0,2900.0,0.1068965517241379,ARTO.JK,BUY,2024-01,,,,,,-0.49302325581395356,-0.18888888888888888,0.6003258721854905,False,False
2024-02-29,2710.0,-0.15576323987538943,-62687189155.85,-0.1531249999999999,0.1630901287553647,0.0796812749003983,7316.11083984375,0.1630901287553647,0.0521843115962077,0.110905817159157,-0.1863658178599547,0.0477160361922148,3210.0,-0.1557632398753894,2710.0,0.0,ARTO.JK,AVOID,2024-02,,,,,,-0.12448132780082988,0.05574912891986061,0.13729217431068647,False,False
2024-03-31,2670.0,-0.014760147601476037,693284445.8100004,-0.0793103448275862,0.3217821782178218,0.1033057851239669,7288.81298828125,0.3217821782178218,0.0502775682849783,0.2715046099328435,-0.0815125393280686,0.1605987927736865,3210.0,-0.1682242990654205,2670.0,0.0,ARTO.JK,AVOID,2024-03,,,,,,-0.10788381742738595,0.12459016393442623,0.13144858985215124,False,False
2024-04-30,2150.0,-0.19475655430711614,-16872223600.72,-0.3302180685358256,0.3650793650793651,0.038647342995169,7234.19677734375,0.3650793650793651,0.0713819287201067,0.2936974363592584,-0.333860698195781,0.0221928264264148,3210.0,-0.3302180685358255,2150.0,0.0,ARTO.JK,AVOID,2024-04,,,,,,0.20370370370370372,0.24295774647887325,0.09469341496650961,True,False
2024-05-31,2410.0,0.12093023255813962,20452678704.42,-0.1107011070110701,-0.2468749999999999,0.0126050420168066,6970.73583984375,-0.2468749999999999,-0.0155358553316179,-0.231339144668382,-0.0634936483543371,-0.5250365810276404,3210.0,-0.249221183800623,2150.0,0.1209302325581395,ARTO.JK,AVOID,2024-05,,,,,,0.16027874564459932,0.08712121212121215,0.15836073434625522,False,False
2024-06-30,2410.0,0.0,26191500311.530003,-0.097378277153558,-0.1689655172413793,-0.2421383647798741,7063.5771484375,-0.1689655172413793,-0.0287674370889809,-0.1401980801523983,-0.066476696854286,0.0911410645159837,3210.0,-0.249221183800623,2150.0,0.1209302325581395,ARTO.JK,AVOID,2024-06,,,,,,0.20983606557377055,0.008230452674897082,0.15927564366712116,True,False
2024-07-31,2700.0,0.1203319502074689,28384061205.09,0.2558139534883721,-0.1588785046728972,-0.0721649484536082,7255.76220703125,-0.1588785046728972,0.0066345284467144,-0.1655130331196116,0.2528329135261971,-0.0253149529672133,3210.0,-0.1588785046728972,2410.0,0.1203319502074688,ARTO.JK,AVOID,2024-07,,,,,,0.04929577464788737,-0.19999999999999996,0.0696470355065083,False,False
2024-08-31,2870.0,0.06296296296296289,27684194849.43,0.1908713692946058,0.0590405904059041,0.2317596566523605,7670.73291015625,0.0590405904059041,0.0484713911633511,0.0105691992425529,0.0904519750734942,0.1760822323621645,3210.0,-0.1059190031152648,2410.0,0.1908713692946058,ARTO.JK,ACCUMULATE,2024-08,,,,,,-0.08712121212121215,-0.6353276353276354,0.06018764220234876,False,False
2024-09-30,3050.0,0.06271777003484313,-23371679012.35,0.2655601659751037,0.142322097378277,0.5099009900990099,7527.92919921875,0.142322097378277,0.0328059193344574,0.1095161780438196,0.199821229311268,0.0989469788012666,3210.0,-0.0498442367601246,2700.0,0.1296296296296296,ARTO.JK,BUY,2024-09,,,,,,-0.25514403292181065,-1.0819112627986347,0.03319300773254166,False,False
2024-10-31,2840.0,-0.06885245901639347,-5521418187.02,0.0518518518518518,0.3209302325581395,0.8031746031746032,7574.01904296875,0.3209302325581395,0.0469744293781535,0.273955803179986,0.0079892186981507,0.1644396251361664,3210.0,-0.1152647975077881,2840.0,0.0,ARTO.JK,WEAK,2024-10,,,,,,-0.26222222222222213,-0.5351351351351352,0.07603298709963721,False,False
2024-11-30,2640.0,-0.07042253521126762,-2248182788.3,-0.0801393728222996,0.095435684647303,-0.175,7114.26611328125,0.095435684647303,0.0205904049063372,0.0748452797409657,-0.0075952230790302,-0.1991105234390202,3210.0,-0.1775700934579439,2640.0,0.0,ARTO.JK,AVOID,2024-11,,,,,,-0.5042735042735043,-0.4426229508196722,0.0764193814779981,False,False
2024-12-31,2430.0,-0.07954545454545459,227372981.7300008,-0.2032786885245902,0.0082987551867219,-0.1620689655172413,7079.90478515625,0.0082987551867219,0.0023115252195358,0.0059872299671861,-0.1437637273438984,-0.0688580497737796,3210.0,-0.2429906542056074,2430.0,0.0,ARTO.JK,AVOID,2024-12,,,,,,-0.658703071672355,-0.3690140845070422,0.005773978261976722,False,False
2025-01-31,2250.0,-0.07407407407407407,142711686.28999972,-0.2077464788732393,-0.1666666666666666,-0.2990654205607477,7109.19580078125,-0.1666666666666666,-0.0202000013324539,-0.1464666653342127,-0.1463757271560235,-0.1524538953013988,3050.0,-0.2622950819672131,2250.0,0.0,ARTO.JK,AVOID,2025-01,,,,,,-0.21621621621621623,-0.20320855614973254,0.004591611872128457,False,False
2025-02-28,1755.0,-0.21999999999999997,-3746021009.55,-0.3352272727272727,-0.3885017421602788,-0.3523985239852398,6270.59716796875,-0.3885017421602788,-0.1825295911859588,-0.2059721509743199,-0.2166389416361009,-0.0595054856401072,3050.0,-0.4245901639344262,1755.0,0.0,ARTO.JK,AVOID,2025-02,,,,,,0.040983606557377095,0.22687224669603523,0.08271617254245832,False,False
2025-03-31,1465.0,-0.16524216524216528,-1700136569.01,-0.397119341563786,-0.519672131147541,-0.4513108614232209,6510.6201171875,-0.519672131147541,-0.1351379715602036,-0.3845341595873373,-0.3167108212172533,-0.1785620086130173,3050.0,-0.519672131147541,1465.0,0.0,ARTO.JK,AVOID,2025-03,,,,,,0.17464788732394365,0.312206572769953,0.07371614157466506,False,False
2025-04-30,1850.0,0.2627986348122866,11383458255.499998,-0.1777777777777778,-0.3485915492957746,-0.1395348837209302,6766.794921875,-0.3485915492957746,-0.1065780421879354,-0.2420135071078392,-0.1296146819085344,0.142520652479498,3050.0,-0.3934426229508196,1465.0,0.2627986348122867,ARTO.JK,AVOID,2025-04,,,,,,0.010695187165775444,0.1552511415525114,0.2643583012867283,False,False
2025-05-31,1830.0,-0.010810810810810811,3129736136.930001,0.0427350427350428,-0.3068181818181817,-0.2406639004149378,7175.81884765625,-0.3068181818181817,0.008652014613298,-0.3154701964314798,-0.1016246817759691,-0.0734566893236405,3050.0,-0.4,1465.0,0.2491467576791808,ARTO.JK,AVOID,2025-05,,,,,,0.19383259911894268,0.09852216748768472,0.2167679629146243,False,False
2025-06-30,1775.0,-0.030054644808743203,-140282849.6900003,0.2116040955631399,-0.2695473251028807,-0.2634854771784232,6927.67919921875,-0.2695473251028807,-0.0215010781298439,-0.2480462469730368,0.1475458223841768,0.0674239494584429,3050.0,-0.4180327868852459,1775.0,0.0,ARTO.JK,AVOID,2025-06,,,,,,0.16666666666666663,0.10126582278481011,0.16380654100997266,False,False
2025-07-31,1870.0,0.05352112676056331,11209874180.29,0.0108108108108107,-0.1688888888888888,-0.3074074074074074,7484.3369140625,-0.1688888888888888,0.0527684317317613,-0.2216573206206502,-0.0952278678356934,0.0263889263523865,3050.0,-0.3868852459016393,1775.0,0.0535211267605633,ARTO.JK,WATCH,2025-07,,,,,,0.1461187214611872,-0.10000000000000009,0.04376801140108097,False,False
2025-08-31,2270.0,0.213903743315508,50080953070.42,0.2404371584699454,0.2934472934472933,-0.2090592334494773,7830.4931640625,0.2934472934472933,0.2487635474436083,0.044683746003685,0.149203763326466,0.2663410666243353,3050.0,-0.2557377049180327,1775.0,0.2788732394366197,ARTO.JK,ACCUMULATE,2025-08,,,,,,-0.11822660098522175,-0.4276729559748427,0.12397794724775148,False,False
2025-09-30,2130.0,-0.06167400881057272,1236245729.39,0.1999999999999999,0.453924914675768,-0.3016393442622951,8061.06201171875,0.453924914675768,0.2381404331114653,0.2157844815643026,0.0363979075954015,0.1711007355606175,2840.0,-0.25,1870.0,0.1390374331550802,ARTO.JK,ACCUMULATE,2025-09,,,,,,-0.07848101265822782,-0.6136363636363635,0.13840496162778132,False,False
2025-10-31,2190.0,0.028169014084507005,25625592754.68,0.1711229946524064,0.1837837837837836,-0.2288732394366197,8163.875,0.1837837837837836,0.2064611229178325,-0.0226773391340489,0.0803282998464176,-0.2384618206983515,2640.0,-0.1704545454545454,2130.0,0.028169014084507,ARTO.JK,AVOID,2025-10,,,,,,-0.28823529411764715,-0.6781609195402298,0.14054196044378936,False,False
2025-11-30,2030.0,-0.0730593607305936,-6388826980.7300005,-0.105726872246696,0.1092896174863387,-0.231060606060606,8508.7060546875,0.1092896174863387,0.1857470534483454,-0.0764574359620067,-0.192338644508705,-0.0537800968279578,2430.0,-0.1646090534979424,2030.0,0.0,ARTO.JK,AVOID,2025-11,,,,,,-0.2767295597484276,-0.7203389830508475,0.055450546839764685,False,False
2025-12-31,1975.0,-0.027093596059113323,23950253111.81,-0.0727699530516432,0.1126760563380282,-0.1872427983539094,8646.9384765625,0.1126760563380282,0.2481724727579237,-0.1354964164198955,-0.1454497642219374,-0.0590389804578888,2270.0,-0.1299559471365639,1975.0,0.0,ARTO.JK,WEAK,2025-12,,,,,,-0.4962121212121211,,0.05068528956450257,False,False
2023-01-31,4264.03466796875,0.05263149647367715,26063866993.800007,-0.0977443461424413,-0.038414982008152,0.1400701543030429,6839.341796875,-0.038414982008152,-0.0160810345675369,-0.0223339474406151,-0.0611825266403693,0.0967060794166404,5174.7294921875,-0.1759888754752616,4050.833251953125,0.0526314964736771,ASII.JK,AVOID,2023-01,,,,,,0.11111121289915038,0.1973457124471878,0.07490290553209945,False,False
2023-02-28,4335.10205078125,0.016666699111607786,104027769018.97,0.0082645932691045,-0.1134919969245823,0.094123541357306,6843.23876953125,-0.1134919969245823,-0.0467154526889039,-0.0667765442356783,0.0418846605001371,-0.0444425967950632,5174.7294921875,-0.1622553299981902,4050.833251953125,0.0701753889008054,ASII.JK,AVOID,2023-02,,,,,,0.13336145245376252,0.13336145245376252,0.056351225278915694,False,False
2023-03-31,4264.03466796875,-0.016393474012841858,-26367064844.45999,0.0526314964736771,-0.0819584117970291,-0.0506640492212508,6805.27685546875,-0.0819584117970291,-0.0334508959153659,-0.0485075158816631,0.0592502099396418,0.0182690283540152,5174.7294921875,-0.1759888754752616,4264.03466796875,0.0,ASII.JK,AVOID,2023-03,,,,,,0.1884601076862329,0.11675787095263601,0.03452266947716659,False,False
2023-04-30,4797.03955078125,0.12500012882550182,204758213588.02,0.1250001288255018,0.0150377268232908,-0.0729873787560226,6915.7158203125,0.0150377268232908,-0.025803233023538,0.0408409598468288,0.113833261354074,0.089348475728492,5152.99609375,-0.0690775883568949,4264.03466796875,0.1250001288255019,ASII.JK,WATCH,2023-04,,,,,,0.0970138231007448,-0.053724935742573976,0.07396086573790346,False,False
2023-05-31,5002.203125,0.042768789384973305,93669752273.48,0.1538835917596284,0.1634199703254153,-0.0292631637995796,6633.26123046875,0.1634199703254153,-0.0632724126943652,0.2266923830197805,0.1845675334039563,0.1858514231729516,5002.203125,0.0,4264.03466796875,0.1731150223933076,ASII.JK,BUY,2023-05,,,,,,-0.0,-0.17509644967468518,0.07100976167652723,False,False
2023-06-30,5254.25146484375,0.05038746599154753,138556674139.11002,0.2322253156883238,0.2970791780457495,0.131234085838416,6661.87890625,0.2970791780457495,-0.0275508286916357,0.3246300067373853,0.2532968976774555,0.0979376237176047,5254.25146484375,0.0,4797.03955078125,0.0953112662971557,ASII.JK,BUY,2023-06,,,,,,-0.08835331129461532,-0.1796911100657328,0.04543692858346306,False,False
2023-07-31,5312.41748046875,0.011070276330356288,38431559922.09,0.1074366646828177,0.2458663904342541,0.1980064554611609,6931.35888671875,0.2458663904342541,0.0134540855796669,0.2324123048545872,0.1051747055721925,-0.0922177018827981,5312.41748046875,0.0,5002.203125,0.0620155454940167,ASII.JK,BUY,2023-07,,,,,,-0.16693362833187253,-0.31493487677823384,0.020851384310413643,False,False
2023-08-31,5002.203125,-0.05839419748339836,-91443422124.11,0.0,0.1538835917596284,0.0229270387123186,6953.259765625,0.1538835917596284,0.0160773282650323,0.137806263494596,-0.0482415095739621,-0.0946060413599911,5312.41748046875,-0.0583941974833984,5002.203125,0.0,ASII.JK,WEAK,2023-08,,,,,,-0.17509644967468518,-0.21445369504320433,0.05508267246217617,False,False
2023-09-30,4827.70751953125,-0.034883750441211836,-61453596949.8,-0.0811807253928575,0.1321923707133028,0.0393996821609272,6939.89208984375,0.1321923707133028,0.0197810077729347,0.112411362940368,-0.1229126733171774,-0.0253949005542279,5312.41748046875,-0.0912409393123845,4827.70751953125,0.0,ASII.JK,AVOID,2023-09,,,,,,-0.0839229300110913,-0.1891583114897204,0.0353313525046978,False,False
2023-10-31,4552.458984375,-0.05701433528081157,-81833085861.01999,-0.1430532330879036,-0.050985730640144,-0.0367147133061054,6752.2109375,-0.050985730640144,-0.0236425103432187,-0.0273432202969252,-0.117207226244712,-0.1397545832372932,5312.41748046875,-0.1430532330879036,4552.458984375,0.0,ASII.JK,AVOID,2023-10,,,,,,-0.1268291913550632,-0.12135924081648164,0.013193482767161606,False,False
2023-11-30,4256.8447265625,-0.06493507329272175,-77190475004.44,-0.1490060239082155,-0.1490060239082155,-0.0099366135881887,7080.7412109375,-0.1490060239082155,0.067460026813557,-0.2164660507217725,-0.1673400786695137,-0.1891228304248472,5312.41748046875,-0.1986991342053015,4256.8447265625,0.0,ASII.JK,AVOID,2023-11,,,,,,-0.03349277872417611,-0.1543215336264634,0.015575530387554267,False,False
2023-12-31,4453.92138671875,0.04629641737376544,167711329696.15,-0.077425181890222,-0.1523204748535574,0.0995074617231588,7272.796875,-0.1523204748535574,0.0917035535090338,-0.2440240283625913,-0.1253949169878963,-0.0275579776408187,5312.41748046875,-0.1616017748805105,4256.8447265625,0.0462964173737654,ASII.JK,AVOID,2023-12,,,,,,-0.09708751292635931,-0.16172667688726938,0.06205950668591849,False,False
2024-01-31,4040.061279296875,-0.09292038890851861,-217647222677.65,-0.112554051961101,-0.2395060640188252,-0.0525261650319951,7207.94091796875,-0.2395060640188252,0.0399030025382125,-0.2794090665570378,-0.1800474973950618,-0.0353850381944464,5312.41748046875,-0.2395060640188253,4040.061279296875,0.0,ASII.JK,AVOID,2024-01,,,,,,0.0048542854414374,0.004268540342005522,0.07363982341713804,False,False
2024-02-29,4118.8916015625,0.01951216004311318,3591648777.470006,-0.032407365986168,-0.1765844971434461,-0.049874362053319,7316.11083984375,-0.1765844971434461,0.0521843115962077,-0.2287688087396538,-0.0656481838461228,0.0506402578173839,5312.41748046875,-0.2246671846281435,4040.061279296875,0.0195121600431131,ASII.JK,AVOID,2024-02,,,,,,-0.11691301322051606,0.06047913115127668,0.07386902108456869,False,False
2024-03-31,4059.7685546875,-0.014354115765652042,-67989825692.39,-0.0884956867911013,-0.1590690740350222,-0.0479044213255789,7288.81298828125,-0.1590690740350222,0.0502775682849783,-0.2093466423200005,-0.0906978812915837,0.0194221664196533,5312.41748046875,-0.2357964016169001,4040.061279296875,0.0048779644733643,ASII.JK,AVOID,2024-03,,,,,,-0.05891887675258656,0.06479641081125342,0.057678219425354414,False,False
