Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state,month,quality_score,value_score,momentum_score,growth_score,final_score,fwd_return_3m,fwd_return_6m,volatility_3m,is_winner_3m,is_winner_6m,fwd_return_1m,recovery_norm,rs_3m_norm,rs_6m_norm,rs_change_norm,drawdown_norm,volatility_3m_norm,recovery_score,recovery_score_pctl,drawdown_12m,rs_3m_prev1,rs_3m_prev2,momentum_inflection,drawdown_prev2,drawdown_compression,winner_group_a,winner_group_b,mi_norm,dc_norm,early_reversal_score,early_reversal_pctl,er_quintile
2024-06-30,3545.767822265625,0.0687679331905657,45408179045.14001,-0.3545224205500894,-0.404950296114097,-0.373116344638143,7063.5771484375,-0.404950296114097,-0.0287674370889809,-0.376182859025116,-0.3236208402508174,0.0600846009696006,6494.134765625,-0.4540045825605256,3317.621826171875,0.0687679331905656,SMGR.JK,AVOID,2024-06,,,,,,0.0158311731847891,-0.1337386236527478,0.1688990499375391,False,False,0.0460357891635158,0.3766999591729448,-1.776171721178919,-1.444413277468075,0.40884847239098143,-1.4100080023493209,1.7675622046525323,-0.4910831182511563,80.95238095238095,-0.4540045825605256,-0.3686484519586374,-0.2504168373970523,False,-0.3304659372624998,False,False,False,-0.32185759804368214,-0.627415964031769,-0.6017374431315046,0.1111111111111111,Q1
2024-07-31,3716.877197265625,0.048257354563804,-28533526744.110004,-0.1451611744009828,-0.3561133483310906,-0.4276562881109366,7255.76220703125,-0.3561133483310906,0.0066345284467144,-0.362747876777805,-0.1481422143631579,0.0134349822473109,6331.19970703125,-0.4129268749589802,3317.621826171875,0.1203438462889669,SMGR.JK,AVOID,2024-07,,,,,,0.0101266072985199,-0.3914590353770633,0.170913766511177,False,False,0.0249376541034673,0.41065628989826874,-1.331543603728927,-1.4228764080336662,-0.013004180831732475,-1.46145929872985,1.2183273740724208,-0.4403091594093684,68.25396825396825,-0.4129268749589802,-0.3236208402508174,-0.3686484519586374,True,-0.4891356668893235,True,False,False,2.429971578286935,0.8315940648908743,-0.0982643289331934,0.4444444444444444,Q3
2024-08-31,3811.93798828125,0.0255754457224355,12734100451.25,0.148997139520195,-0.3288201122294315,-0.397912218114393,7670.73291015625,-0.3288201122294315,0.0484713911633511,-0.3772915033927827,0.0485777452990834,-0.0145436266149776,6051.88232421875,-0.3701235774155042,3545.767822265625,0.0750670036385945,SMGR.JK,AVOID,2024-08,,,,,,-0.1457142823598267,-0.7210301072561769,0.0216053380671591,False,False,-0.0580474317187396,-0.22672452883502964,0.5320732817261045,-1.431719156441689,0.007817106709294846,-1.5493980984661273,-0.8574638583571513,-0.2797038810001052,61.90476190476191,-0.3701235774155042,-0.1481422143631579,-0.3236208402508174,False,-0.4540045825605256,True,False,False,-0.40499526304782235,0.752245314735197,-0.11425019584556911,0.42857142857142855,Q3
2024-09-30,3602.804443359375,-0.0548627877905669,-4377658287.58,0.0160858307573295,-0.3441393774494075,-0.3977310302309733,7527.92919921875,-0.3441393774494075,0.0328059193344574,-0.3769452967838649,-0.0496531059065061,0.0003462066089178,6051.88232421875,-0.4046803539220389,3602.804443359375,0.0,SMGR.JK,AVOID,2024-09,,,,,,-0.1519757512758737,-0.4301887940808733,0.0541887782949051,False,False,0.0405062991557194,-0.8127153448971358,-0.5264799253015563,-2.197320914273325,-0.1191971383383019,-2.201968509859844,-0.3398033970510182,-0.8871228227462957,96.82539682539682,-0.4046803539220389,0.0485777452990834,-0.1481422143631579,False,-0.4129268749589802,True,False,False,-0.456268240284905,0.7266829677558587,-0.6899109630222634,0.15873015873015872,Q1
2024-10-31,3754.901611328125,0.0422163262980017,22975035001.870003,0.01023020456271,-0.136415998346958,-0.338862686164245,7574.01904296875,-0.136415998346958,0.0469744293781535,-0.1833904277251116,-0.033632428590991,0.1935548690587533,6051.88232421875,-0.3795481454916007,3602.804443359375,0.0422163262980017,SMGR.JK,WATCH,2024-10,,,,,,-0.4056939459496018,-0.5134099454742185,0.0519159299721578,False,False,-0.1285714558264081,-0.21667504621902253,-0.29765326646485873,-1.074158470536722,1.1663658975671443,-2.062113971904568,-0.5317721212285598,-0.3056708116443712,57.14285714285714,-0.3795481454916007,-0.0496531059065061,0.0485777452990834,False,-0.3701235774155042,False,False,False,-0.4049952630478224,-0.9458651548221525,-0.3189890530927128,0.4603174603174603,Q3
2024-11-30,3327.1279296875,-0.113924072031629,-33507294059.140003,-0.1271820423323161,0.0028653366820274,-0.4502325472567734,7114.26611328125,0.0028653366820274,0.0205904049063372,-0.0177250682243097,-0.0546378925890467,0.1656653595008018,5958.77587890625,-0.4416423780150288,3327.1279296875,0.0,SMGR.JK,AVOID,2024-11,,,,,,-0.5021459832999313,-0.2455515675968147,0.0788378226476782,False,False,-0.0638297905558529,-0.35699279455623567,-0.519009821562304,-0.08204169021773393,1.4552236866157358,-2.0119702270516084,-0.0752979901871862,-0.1412165555048902,44.44444444444444,-0.4416423780150288,-0.033632428590991,-0.0496531059065061,False,-0.4046803539220389,False,False,False,-0.35073618609895796,-0.456268240284905,-0.18433462126691952,0.49206349206349204,Q3
2024-12-31,3127.500244140625,-0.0600000029351516,-2218953510.9700007,-0.1319261721503708,-0.1179624834707144,-0.4751438369729914,7079.90478515625,-0.1179624834707144,0.0023115252195358,-0.1202740086902502,-0.072411210969679,-0.1025489404659405,5772.564453125,-0.4582130230789297,3127.500244140625,0.0,SMGR.JK,AVOID,2024-12,,,,,,-0.2415094610254287,-0.1808705700787407,0.0793051145685213,False,False,-0.1708184698851229,-0.49655414921473656,-0.3092736171480613,-0.6032703246847506,-1.0791500660984317,-1.9862260031601715,0.297519350898787,-0.4405654723665166,68.25396825396825,-0.4582130230789297,-0.0546378925890467,-0.033632428590991,False,-0.3795481454916007,False,False,False,-0.28882799302123124,-0.45200027014201233,-0.49877303068031636,0.23809523809523808,Q2
2025-01-31,2671.20849609375,-0.1458966306722878,-10470011393.62,-0.2886075927968371,-0.2813299029467899,-0.5372579175538386,7109.19580078125,-0.2813299029467899,-0.0202000013324539,-0.261129901614336,-0.2272368410796212,-0.1408558929240857,5679.4580078125,-0.5296719348185492,2671.20849609375,0.0,SMGR.JK,AVOID,2025-01,,,,,,-0.0766283441961117,-0.1028842316646871,0.0434132859667101,False,False,-0.2060086650592827,-0.49986210130536834,-1.4992121231837467,-1.09528234261604,-0.7495618717113308,-2.187457003484439,-0.4798959761270278,-0.9417245296066724,95.23809523809524,-0.5296719348185492,-0.072411210969679,-0.0546378925890467,False,-0.4416423780150288,False,False,False,-0.28882799302123124,-0.5966996986049437,-0.8525629689137036,0.06349206349206349,Q1
2025-02-28,2214.91650390625,-0.1708185612821912,-20621417112.8,-0.3342857411213864,-0.4189526401753127,-0.6100126982434813,6270.59716796875,-0.4189526401753127,-0.1825295911859588,-0.2364230489893539,-0.2156974100302147,0.024706852624982,5493.2470703125,-0.5967928484636232,2214.91650390625,0.0,SMGR.JK,AVOID,2025-02,,,,,,0.1708185612821912,0.1510761571587886,0.0581378909089604,False,False,0.1207547305127143,-0.35814253763212806,-1.3353356539840002,-1.158121557186121,-0.14639963400907988,-1.949536998891288,-0.4323961582065128,-0.7975473552273029,92.06349206349206,-0.5967928484636232,-0.2272368410796212,-0.072411210969679,False,-0.4582130230789297,False,False,False,-0.5249999987399999,-0.374999998875,-0.7196348715259646,0.12698412698412698,Q1
2025-03-31,2519.111083984375,0.1373390732976362,29595879546.15,-0.1945288929380797,-0.3007916128704805,-0.5414167519246376,6510.6201171875,-0.3007916128704805,-0.1351379715602036,-0.1656536413102768,-0.114120372591547,0.0707694076790771,4348.04443359375,-0.4206335463084776,2214.91650390625,0.1373390732976364,SMGR.JK,AVOID,2025-03,,,,,,0.0488428746218359,0.0990800090141951,0.1711747130753146,False,False,-0.0153256097988179,1.1123655402519381,-0.4765493006352836,-0.49932791291891787,1.0477614741684447,-0.961151984128684,1.1816065814661274,0.3138160986066396,23.809523809523814,-0.4206335463084776,-0.2156974100302147,-0.2272368410796212,True,-0.5296719348185492,True,False,False,4.47388252104332,1.71846588167094,0.8636841376671933,0.873015873015873,Q5
