ticker,quality_score,growth_score,value_score,momentum_score,final_score,ROE,DER,Net Margin,Operating Margin,FCF,PE,PB,Revenue Growth,Net Income Growth,RS_6M,Return_12M,collection_date,source,weight_configuration,universe_version,factor_formula_version,quality_rank,growth_rank,value_rank,momentum_rank,final_rank
ITMG.JK,45.77,22.41,39.66,72.51,47.51,0.093839996,,0.09527001,0.14809,243388752.0,7.7519383,13022.981,0.031,-0.149,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,21.0,25.5,19.0,15.0,16.0
BMRI.JK,77.59,45.69,83.45,52.06,59.67,0.21040002,,0.40245,0.58581,,6.761348,1.2474817,0.015,0.167,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,3.0,18.0,1.0,32.0,10.0
ISAT.JK,,,,71.62,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,17.0,
PWON.JK,,,,31.51,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,48.0,
PTPP.JK,,,,4.74,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,62.0,
PGEO.JK,,,,33.92,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,45.0,
HMSP.JK,,,,71.57,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,18.0,
ESSA.JK,64.65,91.38,14.48,81.14,73.42,0.121120006,,0.15882,0.35653,86916824.0,12.723129,24814.814,0.368,1.31,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,6.0,2.0,28.0,12.0,2.0
BBCA.JK,80.35,36.21,36.55,18.94,41.23,0.22972,,0.53462005,0.67586,,12.106537,2.702845,0.025,0.037,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,2.0,21.5,22.0,55.0,21.0
MEDC.JK,,,,59.83,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,25.0,
TINS.JK,,,,84.92,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,10.0,
BBNI.JK,53.96,53.45,77.58,55.21,56.61,0.12029,,0.40032002,0.47421002,,6.788866,0.85512024,0.078,0.052,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,11.0,15.0,5.0,30.0,12.0
MIKA.JK,73.92,46.55,26.55,11.83,39.24,0.17981,,0.25302,0.30093,511055921152.0,16.340528,2.9726624,0.066,0.048,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,4.0,17.0,26.0,57.0,23.0
SIDO.JK,82.3,1.73,49.31,31.45,37.03,0.32823002,,0.29088,0.2754,953373229056.0,9.94046,3.469618,-0.188,-0.35,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,1.0,29.5,12.0,49.0,26.0
BRPT.JK,41.83,96.55,8.1,49.26,57.47,0.34817,,0.05984,0.19275999,-1247792384.0,18.04987,77600.0,2.322,4.61,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,23.0,1.0,29.0,34.0,11.0
WSBP.JK,,,,51.14,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,33.0,
CPIN.JK,63.88,74.14,37.93,53.61,60.77,0.19496,,0.091630004,0.17216,2504820785152.0,10.493205,1.9070367,0.127,0.677,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,7.0,5.0,21.0,31.0,6.0
AKRA.JK,49.14,70.69,46.55,70.14,62.7,0.18943001,,0.05264,0.06335,3903885148160.0,9.514638,1.9067999,0.262,0.161,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,19.0,7.5,14.5,20.0,5.0
KLBF.JK,62.6,39.66,47.93,10.26,35.93,0.1443,,0.09988,0.13664,2396069298176.0,9.66123,1.4339722,0.101,-0.035,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,8.0,20.0,13.0,60.0,28.0
INDF.JK,50.49,51.72,74.83,55.98,55.21,0.13319,,0.086780004,0.18856001,8638832312320.0,5.567929,0.7864415,0.074,0.086,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,15.0,16.0,6.0,27.0,13.0
BUMI.JK,,,,55.62,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,29.0,
BBTN.JK,,,,71.75,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,16.0,
LPPF.JK,,,,76.46,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,13.0,
GGRM.JK,,,,95.25,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,2.0,
ERAA.JK,,,,39.51,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,39.0,
TOWR.JK,,,,19.69,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,54.0,
AMRT.JK,,,,8.68,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,61.0,
PGAS.JK,35.81,43.1,29.65,74.81,51.03,0.10092,,0.061890002,0.13191,228038624.0,10.245902,15598.291,-0.038,0.458,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,25.0,19.0,25.0,14.0,14.0
TBIG.JK,,,,29.18,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,52.0,
GOTO.JK,16.44,56.89,58.79,34.66,39.19,-0.03291,,-0.03316,0.07829,-323724115968.0,,1.6553551,0.263,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,29.0,13.0,10.0,43.0,24.0
MDKA.JK,12.34,36.2,40.17,87.43,48.56,0.0055299997,,-0.03275,0.040900003,-440244960.0,,80937.5,0.063,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,30.0,23.0,18.0,7.0,15.0
UNTR.JK,50.34,1.73,66.9,58.2,40.16,0.12315,,0.09766,0.07727,4743001800704.0,6.770486,0.83769846,-0.167,-0.794,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,16.0,29.5,8.0,26.0,22.0
SRIL.JK,,,,65.03,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,21.5,
