date,ticker,weight,rank,return_12m
2022-06,BBNI.JK,20.0,3,0.7267
2022-06,PGAS.JK,20.0,4,0.7013
2022-06,UNTR.JK,20.0,5,0.4652
2022-07,ADRO.JK,20.0,1,1.7363
2022-07,PTBA.JK,20.0,2,1.2651
2022-07,PGAS.JK,20.0,3,0.853
2022-07,UNTR.JK,20.0,4,0.7261
2022-07,BBNI.JK,20.0,5,0.6726
2022-08,ADRO.JK,20.0,1,2.1579
2022-08,PTBA.JK,20.0,2,1.3661
2022-08,PGAS.JK,20.0,3,0.9118
2022-08,UNTR.JK,20.0,4,0.7616
2022-08,BBNI.JK,20.0,5,0.6078
2022-09,ADRO.JK,20.0,1,1.529
2022-09,PTBA.JK,20.0,2,0.7748
2022-09,BBNI.JK,20.0,3,0.7006
2022-09,BMRI.JK,20.0,4,0.6056
2022-09,MDKA.JK,20.0,5,0.6026
2022-10,ADRO.JK,20.0,1,1.6628
2022-10,PTBA.JK,20.0,2,0.7138
2022-10,BMRI.JK,20.0,3,0.5405
2022-10,UNTR.JK,20.0,4,0.4499
2022-10,PGAS.JK,20.0,5,0.4065
2022-11,ADRO.JK,20.0,1,1.5588
2022-11,PTBA.JK,20.0,2,0.7168
2022-11,BMRI.JK,20.0,3,0.5753
2022-11,INCO.JK,20.0,4,0.5397
2022-11,UNTR.JK,20.0,5,0.525
2022-12,ADRO.JK,20.0,1,0.79
2022-12,PTBA.JK,20.0,2,0.5995
2022-12,INCO.JK,20.0,3,0.5171
2022-12,BMRI.JK,20.0,4,0.4802
2022-12,MIKA.JK,20.0,5,0.4299
2023-01,ITMG.JK,20.0,1,1.0821
2023-01,INCO.JK,20.0,2,0.5764
2023-01,ADRO.JK,20.0,3,0.4788
2023-01,PTBA.JK,20.0,4,0.4014
2023-01,BMRI.JK,20.0,5,0.3946
2023-02,ITMG.JK,20.0,1,0.7365
2023-02,PTBA.JK,20.0,2,0.444
2023-02,ADRO.JK,20.0,3,0.3658
2023-02,BMRI.JK,20.0,4,0.3606
2023-02,KLBF.JK,20.0,5,0.3108
2023-03,ITMG.JK,20.0,1,0.7184
2023-03,PTBA.JK,20.0,2,0.4246
2023-03,ICBP.JK,20.0,3,0.3907
2023-03,BMRI.JK,20.0,4,0.3737
2023-03,KLBF.JK,20.0,5,0.333
2023-04,ITMG.JK,20.0,1,0.5492
2023-04,ICBP.JK,20.0,2,0.4212
2023-04,KLBF.JK,20.0,3,0.321
2023-04,PTBA.JK,20.0,4,0.2731
2023-04,UNTR.JK,20.0,5,0.2213
2023-05,ICBP.JK,20.0,1,0.3982
2023-05,BBRI.JK,20.0,2,0.2796
2023-05,BMRI.JK,20.0,3,0.2489
2023-05,KLBF.JK,20.0,4,0.234
2023-05,BBCA.JK,20.0,5,0.1957
2023-06,BBRI.JK,20.0,1,0.3892
2023-06,BMRI.JK,20.0,2,0.3793
2023-06,BBCA.JK,20.0,3,0.2923
2023-06,KLBF.JK,20.0,4,0.2574
2023-06,BBNI.JK,20.0,5,0.2159
2023-07,MEDC.JK,20.0,1,1.0197
2023-07,BMRI.JK,20.0,2,0.4543
2023-07,AMRT.JK,20.0,3,0.4528
2023-07,BBRI.JK,20.0,4,0.3772
2023-07,BBCA.JK,20.0,5,0.2713
2023-08,BMRI.JK,20.0,1,0.4311
2023-08,BBRI.JK,20.0,2,0.359
2023-08,AMRT.JK,20.0,3,0.3421
2023-08,BRPT.JK,20.0,4,0.3131
2023-08,MEDC.JK,20.0,5,0.278
2023-09,MEDC.JK,20.0,1,0.8073
2023-09,BRPT.JK,20.0,2,0.6455
2023-09,BMRI.JK,20.0,3,0.3438
2023-09,AMRT.JK,20.0,4,0.2495
2023-09,BBRI.JK,20.0,5,0.2367
2023-10,BRPT.JK,20.0,1,0.3722
2023-10,MEDC.JK,20.0,2,0.1339
2023-10,BBRI.JK,20.0,3,0.1336
2023-10,BMRI.JK,20.0,4,0.1307
2023-10,INDF.JK,20.0,5,0.0678
2023-11,BRPT.JK,20.0,1,0.3311
2023-11,BMRI.JK,20.0,2,0.1684
2023-11,MEDC.JK,20.0,3,0.128
2023-11,BBRI.JK,20.0,4,0.1257
2023-11,BBNI.JK,20.0,5,0.1116
2023-12,BRPT.JK,20.0,1,0.7653
2023-12,BMRI.JK,20.0,2,0.2814
2023-12,BBRI.JK,20.0,3,0.2316
2023-12,BBNI.JK,20.0,4,0.2156
2023-12,MEDC.JK,20.0,5,0.1836
2024-01,BMRI.JK,20.0,1,0.4049
2024-01,AKRA.JK,20.0,2,0.3757
2024-01,BBRI.JK,20.0,3,0.3256
2024-01,BBNI.JK,20.0,4,0.311
2024-01,BRPT.JK,20.0,5,0.2875
2024-02,BMRI.JK,20.0,1,0.4715
2024-02,BBNI.JK,20.0,2,0.4265
2024-02,BBRI.JK,20.0,3,0.397
2024-02,AKRA.JK,20.0,4,0.3655
2024-02,MEDC.JK,20.0,5,0.1848
2024-03,BMRI.JK,20.0,1,0.4762
2024-03,MEDC.JK,20.0,2,0.4726
